date,RMRF,SMB,HML,RMW,CMA,WML,Rev
1998-12-15,0.0508,-9e-4,-0.0345,0.0553,0.0455,-0.0075,0.0075
1998-12-16,-0.0476,0.0146,0.0318,-0.003,0.0069,0.0274,-0.0274
1998-12-17,0.0031,9e-4,0.0034,-0.0184,0.0018,-0.0031,0.0031
1998-12-18,0.0192,6e-4,-0.0183,0.0343,0.0477,-0.0277,0.0277
1998-12-21,0.0591,-0.0207,0.0159,-0.0104,-0.067,-0.0218,0.0218
1998-12-22,-0.013,-7e-4,-0.0205,-0.0371,-0.0291,-0.0039,0.0039
1998-12-23,0.0075,0.0178,-0.0139,-0.0059,0.0094,-0.0118,0.0118
1998-12-28,-0.0415,0.0229,-2e-4,-0.0203,0.0163,0.0024,-0.0024
1998-12-29,-0.0279,0.0194,-0.006,0.0067,0.0055,0.0183,-0.0183
1998-12-30,0.0092,-0.0149,-0.0199,-0.0355,-0.0115,0.0037,-0.0037
1999-01-04,0.0209,0.0135,0.0644,0.0316,-0.0562,0.022,-0.022
1999-01-05,0.023,-0.0123,-0.0193,-0.0079,-0.0074,-0.0073,0.0073
1999-01-06,0.0295,-0.0264,0.0023,0.0016,-0.0243,-0.0059,0.0059
1999-01-07,-0.0537,0.0112,-0.0134,0,0.0243,0.0259,-0.0259
1999-01-08,-0.0262,0.0103,0.01,-0.0121,-0.0097,0.005,-0.005
1999-01-11,-0.0584,0.0296,0.0251,0.0229,0.0156,0.0167,-0.0167
1999-01-12,-0.0803,0.0081,-0.0157,-0.0076,0.0342,0.0477,-0.0477
1999-01-13,-0.0527,0.06,0.0594,0.0781,0.0435,0.0303,-0.0303
1999-01-14,-0.1061,0.0689,0.0571,0.0369,0.044,0.0188,-0.0188
1999-01-15,0.2871,-0.1608,0.0442,-0.0203,-0.1583,-0.0543,0.0543
1999-01-18,0.0519,0.0032,-0.0108,0.0546,0.027,-0.0551,0.0551
1999-01-19,0.0358,-0.0813,0.0155,-0.0033,-0.023,-0.0381,0.0381
1999-01-20,0.038,-0.0321,-0.0253,-0.0416,0.0174,-0.0043,0.0043
1999-01-21,-0.0482,0.0242,-0.0211,-0.0199,0.0196,0.014,-0.014
1999-01-22,-0.0193,0.0208,0.0027,-0.0109,0.0366,0.0178,-0.0178
1999-01-26,0.0593,-0.008,0.0087,0.0243,0.0012,-0.0274,0.0274
1999-01-27,0.0043,0.0121,-0.0301,0.0062,0.0307,0.0186,-0.0186
1999-01-28,0.0371,-0.0512,0.0013,0.0183,-0.0407,0.006,-0.006
1999-01-29,0.0215,-0.0044,-0.0195,0.0271,0.0353,-0.0286,0.0286
1999-02-01,0.0831,-0.0104,-0.0199,-0.0808,-0.0215,-0.057,0.057
1999-02-02,-0.0194,-0.0155,-0.0424,-0.0268,-0.017,0.0219,-0.0219
1999-02-03,-0.0076,-0.0192,0.0137,0.0056,-0.0026,0.0178,-0.0178
1999-02-04,-0.0041,0.0815,-0.0301,-0.0696,0.0027,-0.0344,0.0344
1999-02-05,-0.0267,-0.041,0.026,0.0476,0.026,0.0406,-0.0406
1999-02-08,0.0438,-0.0276,0.0045,0.0276,-0.0146,-0.0196,0.0196
1999-02-09,-0.0185,-0.0037,0.0136,0.0124,0.0167,-0.0093,0.0093
1999-02-10,0.0193,-0.0101,0.0014,-0.014,-0.0075,-0.0314,0.0314
1999-02-11,0.0141,-0.0276,0.0217,0.0036,-0.0054,-0.0185,0.0185
1999-02-12,-0.0055,0.0047,0.0347,0.055,-0.0143,0.025,-0.025
1999-02-17,0.0012,-0.0135,0.0136,0.0103,-0.0224,0.0279,-0.0279
